year,totalwords,u,types,v
1560,2617,16,9,0
1561,2007,13,3,30
1565,2094,61,18,0
1566,673,19,7,0
1567,2959,89,22,0
1568,2322,77,35,5
1571,15797,125,20,0
1573,17022,457,106,4
1579,7045,281,73,5
1580,449,17,7,0
1582,1190,56,22,0
1583,139,0,0,0
1584,11365,385,105,0
1586,10197,331,58,41
1589,150,4,2,0
1590,6009,155,51,13
1593,10583,360,63,14
1594,14429,568,125,2
1595,20908,671,127,8
1596,7681,268,76,6
1597,9341,278,72,13
1599,8539,220,64,2
1600,4380,24,6,27
1601,11673,315,67,68
1602,9145,306,87,0
1603,2434,25,14,1
1605,9287,331,72,0
1607,19578,669,154,10
1608,3947,119,41,2
1610,9159,361,83,1
1611,9270,309,87,1
1612,352,14,9,0
1615,11378,304,115,0
1616,3442,40,10,0
1618,60,3,2,0
1620,9061,321,84,37
1623,9224,305,88,1
1625,7605,222,54,41
1627,1144,1,1,0
1631,16121,327,94,121
1632,5424,61,14,0
1637,2630,45,8,0
1640,2877,9,4,7
1641,19669,282,32,38
1644,3738,29,7,7
1645,271,7,6,0
1646,3956,67,14,33
1647,12302,121,21,2
1648,10026,111,19,0
1649,9199,114,18,1
1651,8188,73,17,0
1652,3928,23,11,0
1653,21282,279,30,0
1654,784,4,3,0
1655,1541,15,6,0
1658,8725,82,14,0
1660,2746,36,8,0
1661,2424,24,7,1
1662,9511,88,21,0
1663,7971,57,12,0
1664,103,3,3,0
1667,8766,128,17,1
1669,8826,117,22,0
1673,1383,6,4,0
1675,9672,136,17,1
1676,8941,105,18,0
1678,28850,272,27,0
1679,2589,30,10,0
1680,17796,146,19,0
1681,20199,183,23,0
1682,25357,297,23,0
1683,17189,176,17,0
1685,14268,119,19,0
1688,7825,63,10,0
1689,2654,23,9,0
1691,852,8,7,0
1692,15101,130,18,0
1693,6919,51,17,0
1694,19429,171,25,0
1695,2596,56,7,0
1696,24206,263,27,0
1697,2753,43,11,0
1699,2122,26,6,0
1702,9047,67,12,0
1703,20851,254,24,0
1707,9221,98,17,0
1714,3020,29,15,0
1715,1867,14,8,0
1716,13250,133,12,0
1719,9318,113,16,0
1721,5219,43,8,0
1722,20226,181,21,0
1723,9057,84,16,0
1724,11200,158,16,0
1725,12164,115,11,0
1726,40,0,0,0
1729,372,4,2,0
1731,4002,33,8,0
1734,9194,76,12,0
1736,2657,37,7,0
1737,16976,208,28,0
1738,3397,44,6,0
1740,3516,34,10,0
1742,8864,102,12,0
1744,470,15,6,0
1745,10949,251,10,0
1747,10805,81,18,0
1748,7444,107,9,0
1750,7952,108,14,0
1751,5657,47,13,0
1752,13396,124,21,0
1757,9526,86,20,0
1759,13007,136,13,0
