year,totalwords,u,types,v
 150,6419,134,40,4
 152,70667,1544,166,333
 153,7976,278,70,24
 154,107141,2537,288,772
 155,60225,1827,287,415
 156,87546,2939,322,404
 157,80066,2888,385,529
 158,98790,3614,439,420
 159,74834,2823,390,633
 160,107311,4295,497,353
 161,74723,2777,386,238
 162,20383,704,191,57
 163,156176,4148,396,2828
 164,30312,626,73,20
 165,165497,3822,135,9
 166,113837,2208,118,85
 167,146269,3015,123,26
 168,77405,1543,106,11
 169,189564,3754,134,151
 170,49933,1038,67,2
1597,10111,361,88,58
