year,totalwords,u,types,v
1641,12773,20,6,13
1642,20418,20,5,3
1643,11373,8,3,0
1644,26291,44,6,12
1646,22875,12,4,1
1648,9158,8,3,0
1649,30434,32,5,0
1650,12269,6,4,0
1652,15211,10,4,0
1653,37539,44,5,1
1658,6399,10,4,0
1659,20772,16,4,6
1660,11098,3,1,0
1666,30155,10,3,0
1668,25794,21,5,1
1669,9478,5,3,0
1670,10512,2,2,0
1672,4021,4,1,0
1673,5873,4,3,0
1674,46915,41,4,1
1676,30415,25,5,0
1679,16774,2,2,0
1680,15626,17,4,0
1681,37671,24,5,310
1682,8364,8,4,0
1683,12568,20,2,0
1684,29023,19,3,1
1685,18235,9,2,0
1687,7322,3,1,0
1688,9649,3,1,0
1689,20717,11,3,0
1690,9930,1,1,0
1692,27714,15,4,0
1694,6283,4,1,0
1696,29053,22,3,0
1697,24833,19,2,0
1698,10170,8,3,0
1699,24444,19,3,1
1700,21367,12,3,0
1701,20174,39,2,0
1702,10391,2,1,0
1703,2432,1,1,0
1704,16989,11,4,0
1705,11246,7,1,0
1709,5207,4,1,0
1711,20637,14,4,0
1712,22739,27,3,0
1713,8255,0,0,0
1714,11556,5,1,0
1716,6071,6,2,0
1717,5886,2,1,0
1718,14625,5,1,0
1720,25577,24,3,0
1721,11286,10,3,0
1722,28893,21,4,0
1723,9263,7,2,0
1724,991,0,0,0
1729,8487,3,2,0
1730,31435,36,4,0
1731,24521,22,3,0
1732,5037,4,2,0
1735,16085,12,2,0
1739,10049,6,6,7
