year,totalwords,u,types,v
1410,230,25,12,0
1417,1093,87,24,9
1418,5257,489,60,60
1419,4523,439,56,2
1420,3332,285,47,47
1421,1162,113,20,0
1422,476,51,10,0
1424,252,5,4,0
1425,1695,62,30,0
1426,1164,63,35,0
1429,435,12,7,0
1430,504,24,13,5
1431,445,39,14,0
1436,412,15,6,0
1440,4248,176,40,12
1442,746,58,16,0
1443,157,25,10,0
1444,1142,51,16,0
1445,734,14,7,0
1447,10939,296,44,113
1448,6695,151,54,62
1449,5370,157,39,17
1450,16166,818,131,92
1451,9186,274,69,68
1452,5305,253,82,33
1453,2037,60,13,8
1454,7569,415,87,51
1455,4742,257,67,24
1456,11221,500,107,36
1457,1397,42,25,2
1458,3306,195,61,0
1459,4619,180,68,40
1460,11423,629,106,34
1461,18580,917,120,104
1462,10981,528,85,94
1463,3105,201,45,10
1464,5383,279,77,34
1465,23596,1113,131,106
1466,3970,243,53,25
1467,6537,303,81,19
1468,1973,81,28,8
1469,10822,626,108,91
1470,11601,543,93,92
1471,4232,203,65,21
1472,13247,608,109,89
1473,4782,217,46,47
1474,3124,114,28,29
1475,6918,297,71,69
1476,12464,663,76,195
1477,8981,363,83,84
1478,16826,833,97,212
1479,15310,824,109,132
1480,11724,625,86,123
1481,12305,611,105,135
1482,13841,496,79,159
1483,2685,182,44,40
1484,5642,418,56,65
1485,1050,47,14,14
1486,840,65,21,9
1487,2130,104,30,14
1488,3420,173,48,27
1489,2835,142,35,21
1490,7319,523,73,97
1491,1363,112,31,14
1492,1572,145,29,17
1494,133,19,7,0
1495,839,62,20,0
1496,986,72,23,7
1497,2821,222,42,33
1499,2513,202,36,27
1500,4462,375,55,51
1501,1977,163,28,0
1502,1510,122,23,0
1503,2830,258,36,0
1504,2848,213,35,2
1505,2551,122,32,85
1506,1298,95,28,10
1509,405,10,6,0
1510,283,19,11,0
1511,1182,52,29,0
1512,846,41,28,0
1513,6949,326,62,40
1514,2779,142,39,2
1515,2829,209,33,21
1516,1507,131,28,21
1517,1520,117,29,0
1519,6690,359,60,71
1520,5518,359,70,75
1522,1765,83,21,0
1523,14774,824,75,211
1524,3293,138,38,15
1525,599,43,20,6
1526,3529,187,46,31
1527,771,46,19,0
1528,9078,669,102,137
1529,9202,753,76,120
1530,18669,1319,146,294
1531,682,47,20,3
1532,10760,721,101,114
1533,12035,800,119,158
1534,20719,1479,187,310
1535,9630,647,146,142
1536,18962,1533,157,440
1537,11248,841,122,160
1538,9623,667,99,131
1539,23475,1359,127,436
1540,17265,962,110,236
1541,983,104,27,0
1542,1537,141,31,0
1543,330,26,8,0
1544,1272,74,21,0
1545,13147,589,70,0
