year,totalwords,u,types,v
1386,1468,0,0,0
1417,969,0,0,0
1418,1850,0,0,0
1419,1119,0,0,0
1424,349,0,0,0
1426,403,0,0,0
1429,761,0,0,0
1431,170,0,0,0
1438,239,0,0,0
1440,480,0,0,0
1441,1444,0,0,0
1442,3612,0,0,0
1445,310,0,0,0
1447,3654,0,0,0
1450,323,0,0,0
1451,732,0,0,0
1456,737,0,0,0
1458,279,0,0,0
1463,163,0,0,0
1465,3789,0,0,0
1467,591,0,0,0
1471,237,0,0,0
1472,987,0,0,0
1473,209,0,0,0
1475,213,0,0,0
1476,3607,0,0,0
1477,1229,0,0,0
1478,3122,0,0,0
1479,1066,0,0,0
1480,2337,0,0,0
1481,337,0,0,0
1482,796,0,0,0
1487,2268,0,0,0
1502,1036,0,0,0
1503,2865,0,0,0
1504,1382,0,0,0
1505,395,0,0,0
1510,520,0,0,0
1513,1346,0,0,0
1514,1492,0,0,0
1515,2047,0,0,0
1516,531,0,0,0
1523,3238,0,0,0
1525,1188,1,1,0
1528,259,0,0,0
1529,893,0,0,0
1534,3684,0,0,0
1535,3455,0,0,0
1536,1009,0,0,0
1537,687,0,0,0
1540,1748,0,0,0
1544,823,0,0,0
1545,111,0,0,0
1546,484,0,0,0
1549,640,0,0,0
1551,854,0,0,0
1553,551,0,0,0
1566,768,0,0,0
1568,1384,0,0,0
1569,335,0,0,0
1571,258,0,0,0
1572,149,0,0,0
1573,522,0,0,0
1574,1307,0,0,0
1575,318,0,0,0
1579,1540,2,1,0
1580,1161,0,0,0
1581,138,0,0,0
1582,186,0,0,0
1583,826,0,0,0
1584,79,0,0,0
1585,2615,0,0,0
1586,855,0,0,0
1587,2944,0,0,0
1588,2258,0,0,0
1592,1468,0,0,0
1594,222,0,0,0
1601,1312,0,0,0
1605,2260,0,0,0
1607,1377,0,0,0
1609,423,0,0,0
1611,1016,0,0,0
1613,4495,0,0,0
1614,629,0,0,0
1615,285,0,0,0
1616,972,0,0,0
1617,1520,0,0,0
1618,3907,0,0,0
1619,1402,0,0,0
1620,1805,0,0,0
1621,371,0,0,0
1622,324,0,0,0
1623,1524,0,0,0
1624,1621,0,0,0
1625,3609,0,0,0
1626,697,0,0,0
1627,363,0,0,0
1629,3579,0,0,0
1630,2802,0,0,0
1632,705,0,0,0
1633,1423,0,0,0
1634,765,0,0,0
1635,1973,0,0,0
1638,1402,0,0,0
1641,632,0,0,0
1642,1158,0,0,0
1643,2585,0,0,0
1644,540,0,0,0
1646,419,0,0,0
1647,378,0,0,0
1648,675,0,0,0
1651,796,0,0,0
1654,4965,0,0,0
1656,1041,0,0,0
1657,623,0,0,0
1660,3563,0,0,0
1661,921,0,0,0
1664,3802,0,0,0
1668,1828,0,0,0
1670,837,0,0,0
1671,769,0,0,0
1672,1179,0,0,0
1673,749,0,0,0
1674,182,0,0,0
1675,241,0,0,0
1678,3021,0,0,0
1679,950,0,0,0
1680,1742,0,0,0
1685,511,0,0,0
1686,4545,0,0,0
1688,2084,0,0,0
1689,149,0,0,0
1698,1223,0,0,0
c. 1,210,0,0,0
c152,86,0,0,0
c153,372,0,0,0
c154,269,0,0,0
c155,165,0,0,0
ca. ,5448,0,0,0
ca.1,147,0,0,0
prob,394,0,0,0
