year,totalwords,u,types,v
150,6419,374,96,4
152,70667,3064,321,333
153,7976,486,130,24
154,107141,5210,523,772
155,60225,3350,492,415
156,87546,5543,541,404
157,80066,4753,516,529
158,98790,5953,599,420
159,74834,4606,499,633
160,107311,7227,657,353
161,74723,4513,485,238
162,20383,1096,247,57
163,156176,7664,517,2828
164,30312,1219,123,20
165,165497,7920,219,9
166,113837,5131,224,85
167,146269,6370,222,26
168,77405,3580,187,11
169,189564,7814,248,151
170,49933,1996,134,2
1050,68634,1667,149,11
1150,154416,5517,581,564
1250,99048,4416,437,724
1350,187949,7926,646,1849
1386,1468,95,28,0
1410,230,27,13,0
1417,2062,198,37,29
1418,7107,697,89,195
1419,5642,609,80,138
1420,186737,8068,681,2213
1421,1162,119,24,0
1422,476,56,14,0
1424,601,41,14,0
1425,1695,65,33,0
1426,1567,87,43,9
1429,1196,72,24,0
1430,504,27,16,5
1431,615,59,20,10
1436,412,17,8,0
1438,239,19,7,0
1440,4728,229,53,21
1441,1444,127,17,0
1442,4358,327,55,41
1443,157,25,10,0
1444,1142,53,18,0
1445,1044,32,13,0
1447,14593,554,78,140
1448,6695,166,63,62
1449,5370,166,43,17
1450,16489,881,148,94
1451,9918,332,82,78
1452,5305,264,89,33
1453,2037,61,14,8
1454,7569,429,94,51
1455,4742,268,74,24
1456,11958,615,134,47
1457,1397,48,27,2
1458,3585,212,73,3
1459,4619,198,79,40
1460,11423,667,124,34
1461,18580,959,132,104
1462,10981,547,96,94
1463,3268,227,52,11
1464,5383,288,85,34
1465,27385,1431,155,201
1466,3970,251,56,25
1467,7128,367,93,31
1468,1973,89,32,8
1469,10822,639,118,91
1470,11601,567,103,92
1471,4469,244,72,23
1472,14234,718,131,101
1473,4991,244,54,48
1474,3124,114,28,29
1475,7131,338,79,72
1476,16071,1009,94,260
1477,10210,485,97,115
1478,19948,1073,114,254
1479,16376,957,127,149
1480,14061,850,105,159
1481,12642,667,117,140
1482,14637,617,98,178
1483,2685,184,46,40
1484,5642,433,64,65
1485,1050,48,15,14
1486,840,66,22,9
1487,4398,285,58,49
1488,3420,179,50,27
1489,2835,149,40,21
1490,7319,545,85,97
1491,1363,114,33,14
1492,1572,147,31,17
1494,133,20,8,0
1495,839,66,23,0
1496,986,73,24,7
1497,2821,231,47,33
1499,2513,211,42,27
1500,556097,32286,1340,12362
1501,1977,175,36,0
1502,2546,214,30,0
1503,5695,459,55,0
1504,4230,331,41,3
1505,2946,158,38,93
1506,1298,97,30,10
1509,405,12,8,0
1510,803,73,18,9
1511,1182,53,30,0
1512,846,42,29,0
1513,8295,463,78,65
1514,4271,289,50,4
1515,4876,409,49,50
1516,2038,205,38,35
1517,1520,125,36,0
1519,6690,369,67,71
1520,5518,374,79,75
1522,1765,84,22,0
1523,18012,1053,105,248
1524,3293,152,45,15
1525,1787,100,38,17
1526,3529,196,52,31
1527,771,51,23,0
1528,9337,721,115,145
1529,10095,856,97,141
1530,18669,1384,169,294
1531,682,49,22,3
1532,10760,760,119,114
1533,12035,851,140,158
1534,24403,1954,230,445
1535,13085,997,179,208
1536,19971,1703,182,463
1537,11935,976,148,176
1538,9623,714,113,131
1539,23475,1445,152,436
1540,19013,1130,132,262
1541,983,107,30,0
1542,1537,146,34,0
1543,330,27,9,0
1544,2095,144,26,0
1545,13258,660,94,0
1546,4900,258,57,7
1547,3413,234,50,32
1548,993,85,28,9
1549,19785,1502,162,291
1550,837,84,35,10
1551,2207,218,52,25
1552,317,25,14,0
1553,1601,180,33,4
1554,804,36,19,0
1556,3161,232,60,12
1557,667,55,21,0
1558,263,13,7,0
1559,261,22,9,0
1560,4453,315,45,0
1561,5442,378,69,84
1563,175,13,4,0
1564,240,23,12,0
1565,2558,213,53,20
1566,2481,203,43,19
1567,2959,324,65,0
1568,4113,428,102,57
1569,1564,104,41,1
1570,3190,217,48,40
1571,19643,1498,111,232
1572,13461,905,101,147
1573,59176,5194,373,1042
1574,19486,1571,158,305
1575,10987,630,105,98
1576,13566,941,94,0
1577,6291,328,59,7
1578,5226,379,77,55
1579,25349,1872,251,471
1580,8563,638,90,110
1581,7767,457,74,51
1582,14751,1007,118,243
1583,11018,743,96,4
1584,14567,1510,211,138
1585,19774,1421,145,285
1586,75445,5027,316,1505
1587,10787,760,92,123
1588,6382,616,92,75
1589,2948,254,64,32
1590,12782,1068,181,141
1591,5414,373,84,66
1592,12634,805,129,145
1593,23717,1803,236,337
1594,28156,2609,326,372
1595,28069,2297,296,270
1596,10213,1113,149,49
1597,26551,1876,263,248
1598,6201,416,112,68
1599,16830,1470,205,136
1600,10638,635,99,162
1601,15393,1655,178,254
1602,15134,1329,180,141
1603,25542,2012,152,329
1604,8456,781,74,0
1605,28670,2902,258,515
1606,8767,665,72,0
1607,24415,2505,294,294
1608,18815,1470,163,323
1609,7256,689,74,0
1610,17123,1667,185,260
1611,15269,1327,200,202
1612,7143,456,103,101
1613,30066,1919,189,524
1614,14438,1020,189,206
1615,31995,2078,289,536
1616,14800,896,116,175
1617,15959,960,111,0
1618,17220,1366,172,289
1619,11711,790,127,193
1620,22802,2069,237,424
1621,8990,653,129,100
1622,5984,558,115,56
1623,807736,79027,1342,6649
1624,30583,2507,275,627
1625,37208,2734,260,760
1626,25084,1657,208,558
1627,26878,2018,198,529
1628,17779,1314,182,308
1629,39776,3446,235,850
1630,25732,2188,182,427
1631,44393,3792,317,859
1632,25468,1952,154,323
1633,14460,1118,118,227
1634,4303,327,78,75
1635,5993,478,74,68
1636,6332,495,80,100
1637,10019,825,97,24
1638,6209,542,96,66
1639,13667,1272,150,213
1640,16578,1298,133,294
1641,54060,3890,207,709
1642,54687,3779,245,753
1643,21636,1512,143,314
1644,43030,1986,155,431
1645,1856,152,48,0
1646,27250,1327,118,214
1647,13004,1049,84,2
1648,20341,1451,110,58
1649,40546,2327,147,1
1650,25969,1792,177,470
1651,33977,2219,184,613
1652,30529,1811,161,490
1653,290818,16474,338,3828
1654,231779,11277,301,3483
1655,4502,380,81,59
1656,8124,751,104,106
1657,9968,851,140,227
1658,26404,2000,168,350
1659,37415,2147,174,486
1660,30585,2039,157,217
1661,11313,777,77,1
1662,18890,1618,112,55
1663,14840,1007,73,0
1664,14729,1166,84,0
1665,8697,657,85,7
1666,38041,1912,150,291
1667,13134,1238,104,339
1668,30908,1767,124,1
1669,21276,1466,113,1
1670,19120,1119,150,170
1671,5193,286,56,32
1672,15970,1009,103,136
1673,13982,770,96,89
1674,57012,3093,200,631
1675,20680,1725,121,279
1676,60979,3391,209,622
1677,37310,2315,189,629
1678,46574,3030,158,473
1679,64872,3898,172,525
1680,54345,3804,165,457
1681,63440,3169,156,590
1682,33721,2200,117,0
1683,29757,1581,101,0
1684,29023,1048,129,1
1685,33014,1997,107,0
1686,4545,408,54,0
1687,7322,630,55,0
1688,19558,1212,96,0
1689,23520,1104,108,0
1690,9930,465,68,0
1691,852,63,25,0
1692,42815,2507,145,0
1693,6919,538,68,0
1694,25712,1903,110,0
1695,2596,179,36,0
1696,53259,3007,148,0
1697,27586,1478,93,0
1698,11393,445,59,0
1699,26566,1340,103,1
1700,21367,1086,111,0
1701,20174,875,98,0
1702,19438,1167,87,0
1703,23283,1561,112,0
1704,16989,823,85,0
1705,11246,490,69,0
1707,9221,758,66,0
1709,5207,248,40,0
1711,20637,1149,106,0
1712,22739,896,109,0
1713,8255,287,62,0
1714,14576,838,84,0
1715,1867,162,34,0
1716,19321,1024,91,0
1717,5886,246,44,0
1718,14625,639,80,0
1719,9318,851,64,0
1720,25577,1145,131,0
1721,16505,854,88,0
1722,49119,2786,125,0
1723,18320,929,78,0
1724,12191,1037,74,0
1725,12164,607,56,0
1726,40,4,3,0
1729,8859,442,69,0
1730,31435,1167,119,0
1731,28523,1565,105,0
1732,5037,237,54,0
1734,9194,760,53,0
1735,16085,964,85,0
1736,2657,175,32,0
1737,16976,1018,89,0
1738,3397,159,26,0
1739,10049,321,71,7
1740,3516,232,31,0
1742,8864,610,47,0
1744,470,28,15,0
1745,10949,903,34,0
1747,10805,892,73,0
1748,7444,448,46,0
1750,7952,609,62,0
1751,5657,441,52,0
1752,13396,942,66,0
1757,9526,709,61,0
1759,13007,831,51,0
0,973603,36256,1064,2049
