,aboue_3u,aboue_3v,about_3u,about_3v,although_5u,although_5v,belieue_5u,belieue_5v,but_1u,but_1v,cause_2u,cause_2v,causes_2u,causes_2v,colour_4u,colour_4v,could_2u,could_2v,course_2u,course_2v,court_2u,court_2v,cure_1u,cure_1v,cut_1u,cut_1v,deliuered_4u,deliuered_4v,diuers_2u,diuers_2v,duke_1u,duke_1v,euen_1u,euen_1v,euer_1u,euer_1v,euery_1u,euery_1v,fauour_2u,fauour_2v,fiue_2u,fiue_2v,full_1u,full_1v,further_1u,further_1v,gaue_2u,gaue_2v,giue_2u,giue_2v,giuen_2u,giuen_2v,gouernment_2u,gouernment_2v,ground_3u,ground_3v,haue_2u,haue_2v,hauing_2u,hauing_2v,heauen_3u,heauen_3v,honour_4u,honour_4v,humble_1u,humble_1v,leaue_3u,leaue_3v,leaues_3u,leaues_3v,liue_2u,liue_2v,loue_2u,loue_2v,much_1u,much_1v,must_1u,must_1v,nature_3u,nature_3v,neuer_2u,neuer_2v,ouer_1u,ouer_1v,our_1u,our_1v,oure_1u,oure_1v,out_1u,out_1v,pound_2u,pound_2v,proue_3u,proue_3v,purpose_1u,purpose_1v,put_1u,put_1v,receiue_5u,receiue_5v,receiued_5u,receiued_5v,saue_2u,saue_2v,selues_3u,selues_3v,seruant_3u,seruant_3v,serue_3u,serue_3v,seruice_3u,seruice_3v,seueral_2u,seueral_2v,soule_2u,soule_2v,suche_1u,suche_1v,sum_1u,sum_1v,sure_1u,sure_1v,themselues_7u,themselues_7v,though_3u,though_3v,thought_3u,thought_3v,thus_2u,thus_2v,trouble_3u,trouble_3v,true_2u,true_2v,truly_2u,truly_2v,trust_2u,trust_2v,uertue_0u,uertue_0v,uery_0u,uery_0v,under_0u,under_0v,understand_0u,understand_0v,unto_0u,unto_0v,up_0u,up_0v,upon_0u,upon_0v,uppon_0u,uppon_0v,us_0u,us_0v,use_0u,use_0v,used_0u,used_0v,ut_0u,ut_0v,vertue_4u,vertue_4v,without_5u,without_5v,would_2u,would_2v,young_2u,young_2v,your_2u,your_2v,youre_2u,youre_2v,yours_2u,yours_2v
,0,231,1142,0,83,0,0,75,3122,0,215,0,25,0,19,0,333,0,86,0,377,0,37,0,77,0,0,127,0,420,388,0,0,85,0,228,0,499,0,57,0,224,196,0,358,0,0,123,0,469,0,413,0,322,127,0,0,3120,0,780,0,51,116,0,51,0,0,159,0,15,0,106,0,135,888,0,180,0,73,0,0,212,0,385,1456,0,0,0,1219,0,97,0,0,78,111,0,446,0,0,178,0,395,0,66,0,3,0,41,0,67,0,199,0,755,0,0,0,0,105,0,93,0,0,412,319,0,206,0,331,0,29,0,199,0,44,0,59,0,0,0,0,921,507,0,76,0,465,0,934,0,1960,0,0,0,543,0,157,0,88,0,3,0,0,0,416,0,538,0,224,0,585,0,0,0,35,0
. 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1050,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,35,0,0,0,13,0,139,1,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,10,19,0,0,0,0,0,0,146,0,36,0,6,0,3,0,0,0,1,0,21,0,4,0,0,0,0,0,0,0,2,0,2,0,12,0,19,7,0,0,4,0,56,0,0,0,7,3,4,0,0,0,0,0,2,0,167,70,0,0,0,0,13,0,0,0,16,0,3,0,63,0,9,4,0,0,7,0,4,0,29,4,90,1,70,0,52,0,31,0,0,0,1,2,4,0,19,0,0,0,0,0,7,2,0,0,0,0,4,1,0,0,0,0,11,0,103,0,41,0,3,0,0,0,8,0,9,0,19,0,1,0,19,0,9,0,7,0,0,17,0,12,65,14,0,1,24,76,89,5,8,14,25,0,213,16,11,2,10,3,191,3,17,0,29,0,0,0,0,0,85,0,19,0,0,0
1250,20,0,0,0,0,0,0,0,41,0,2,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,11,0,1,0,0,0,11,0,32,0,3,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,131,2,0,0,0,0,10,0,0,0,0,0,0,0,29,0,96,0,1,0,0,0,3,0,27,0,40,1,266,0,105,0,122,2,1,0,4,0,0,0,7,0,0,0,0,0,6,0,0,0,5,0,5,0,7,0,0,0,77,0,3,0,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,42,0,0,13,21,61,117,14,45,0,0,98,74,0,0,0,0,23,13,1,0,0,0,0,0,0,0,3,0,3,0,0,0
1350,28,14,8,0,5,0,0,1,764,0,107,0,25,0,25,0,0,0,1,0,23,0,9,0,0,0,1,2,8,11,9,0,15,2,106,8,39,60,0,1,12,1,29,0,1,0,6,0,17,0,1,0,0,0,5,0,532,172,0,0,0,0,20,0,5,0,0,0,0,0,22,1,130,45,0,0,1,0,28,0,138,23,54,32,152,0,259,0,189,1,12,0,7,0,3,0,77,0,1,0,3,0,19,12,0,0,2,1,19,2,4,11,0,0,100,0,50,0,98,0,0,0,0,0,17,0,15,0,110,0,3,0,0,0,6,0,11,0,0,4,0,3,27,58,3,2,58,188,52,110,114,49,5,4,55,189,4,10,2,15,2,1,4,0,7,0,0,0,0,0,99,0,54,0,0,0
1386,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,14,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,8,0,0,2,3,0,2,3,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,0,4,0,0,0
1418,1,0,0,0,0,0,0,0,7,0,12,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,96,0,176,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,3,0,0,0,12,0,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,48,0,1,0,59,1,1,0,14,0,2,2,79,0,1,0,2,0,0,2,0,0,0,0,0,0,0,44,0,7,0,0,0
